23:21,EUR/USD,1.12964,1627
23:21,USD/JPY,114.37225,8443
23:21,GBP/USD,1.27054,7720
23:21,USD/CHF,0.90971,5311
23:21,AUD/USD,0.7107,7986
23:21,USD/CAD,1.31494,1845
23:26,EUR/USD,1.10982,7150
23:26,USD/JPY,110.50742,1976
23:26,GBP/USD,1.26604,1685
23:26,USD/CHF,0.90105,6355
23:26,AUD/USD,0.74876,5197
23:26,USD/CAD,1.32589,4581
23:31,EUR/USD,1.13038,3768
23:31,USD/JPY,112.68913,3922
23:31,GBP/USD,1.27341,2137
23:31,USD/CHF,0.90429,8058
23:31,AUD/USD,0.70819,6490
23:31,USD/CAD,1.3034,2510
23:36,EUR/USD,1.10886,7908
23:36,USD/JPY,112.18901,3990
23:36,GBP/USD,1.26073,5577
23:36,USD/CHF,0.92776,8046
23:36,AUD/USD,0.73824,1392
23:36,USD/CAD,1.34403,9861
23:41,EUR/USD,1.13224,1960
23:41,USD/JPY,111.45684,9391
23:41,GBP/USD,1.29164,2157
23:41,USD/CHF,0.94285,1018
23:41,AUD/USD,0.74743,5274
23:41,USD/CAD,1.30807,2445
23:46,EUR/USD,1.10315,2747
23:46,USD/JPY,111.46043,9399
23:46,GBP/USD,1.2651,6701
23:46,USD/CHF,0.9012,4975
23:46,AUD/USD,0.73313,8522
23:46,USD/CAD,1.31297,4508
23:51,EUR/USD,1.10782,7858
23:51,USD/JPY,111.75776,9885
23:51,GBP/USD,1.28434,9721
23:51,USD/CHF,0.94061,1921
23:51,AUD/USD,0.7336,6486
23:51,USD/CAD,1.30544,7055
23:56,EUR/USD,1.10915,9010
23:56,USD/JPY,110.30345,7735
23:56,GBP/USD,1.25448,6755
23:56,USD/CHF,0.91526,5110
23:56,AUD/USD,0.72428,5797
23:56,USD/CAD,1.32447,1532
0:01,EUR/USD,1.1489,4284
0:01,USD/JPY,113.77744,5444
0:01,GBP/USD,1.2803,8168
0:01,USD/CHF,0.91096,2384
0:01,AUD/USD,0.74203,1912
0:01,USD/CAD,1.32467,1869
0:06,EUR/USD,1.1001,8973
0:06,USD/JPY,113.33519,1197
0:06,GBP/USD,1.27013,6402
0:06,USD/CHF,0.90892,2724
0:06,AUD/USD,0.7228,5948
0:06,USD/CAD,1.30861,5499
0:11,EUR/USD,1.10081,8191
0:11,USD/JPY,110.47841,4255
0:11,GBP/USD,1.28594,8038
0:11,USD/CHF,0.90075,2505
0:11,AUD/USD,0.7026,9587
0:11,USD/CAD,1.31814,8520
0:16,EUR/USD,1.12697,6796
0:16,USD/JPY,114.49518,8570
0:16,GBP/USD,1.25437,2605
0:16,USD/CHF,0.91284,3984
0:16,AUD/USD,0.73793,9763
0:16,USD/CAD,1.31594,7669
0:21,EUR/USD,1.12031,8704
0:21,USD/JPY,114.73986,6516
0:21,GBP/USD,1.28528,1904
0:21,USD/CHF,0.93629,9050
0:21,AUD/USD,0.74497,1831
0:21,USD/CAD,1.32292,7169
0:26,EUR/USD,1.11871,6344
0:26,USD/JPY,112.64957,6680
0:26,GBP/USD,1.29565,1996
0:26,USD/CHF,0.90024,6668
0:26,AUD/USD,0.7151,9907
0:26,USD/CAD,1.32155,1317
0:31,EUR/USD,1.10143,1670
0:31,USD/JPY,110.77385,2228
0:31,GBP/USD,1.28121,5700
0:31,USD/CHF,0.93081,5346
0:31,AUD/USD,0.70598,4483
0:31,USD/CAD,1.31073,2749
0:36,EUR/USD,1.11845,4658
0:36,USD/JPY,113.98276,8027
0:36,GBP/USD,1.25328,3983
0:36,USD/CHF,0.93814,5631
0:36,AUD/USD,0.70926,2227
0:36,USD/CAD,1.34582,9578
0:41,EUR/USD,1.13077,8470
0:41,USD/JPY,111.08199,4992
0:41,GBP/USD,1.26126,7013
0:41,USD/CHF,0.9363,1070
